	2017	2018	diff	sum	2017_norm	2018_norm	norm_diff
distance	4.000	5.000	1.000	9.000	0.001	0.001	0.000
display	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dishes	0.000	1.000	1.000	1.000	0.000	0.000	0.000
disentanglement	0.000	1.000	1.000	1.000	0.000	0.000	0.000
discriminability	0.000	1.000	1.000	1.000	0.000	0.000	0.000
discretecontinuous	0.000	1.000	1.000	1.000	0.000	0.000	0.000
discrepancy	1.000	2.000	1.000	3.000	0.000	0.000	0.000
dirichletnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
directionaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dimensionalitys	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dimensional	1.000	2.000	1.000	3.000	0.000	0.000	0.000
dilated	1.000	2.000	1.000	3.000	0.000	0.000	0.000
difficulty	0.000	1.000	1.000	1.000	0.000	0.000	0.000
differential	1.000	2.000	1.000	3.000	0.000	0.000	0.000
different	0.000	1.000	1.000	1.000	0.000	0.000	0.000
differences	0.000	1.000	1.000	1.000	0.000	0.000	0.000
compositing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
components	0.000	1.000	1.000	1.000	0.000	0.000	0.000
complex	1.000	2.000	1.000	3.000	0.000	0.000	0.000
arrow	0.000	1.000	1.000	1.000	0.000	0.000	0.000
attngan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
attentions	0.000	1.000	1.000	1.000	0.000	0.000	0.000
atomic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
atlanta	0.000	1.000	1.000	1.000	0.000	0.000	0.000
assumption	0.000	1.000	1.000	1.000	0.000	0.000	0.000
assume	0.000	1.000	1.000	1.000	0.000	0.000	0.000
assignment	0.000	1.000	1.000	1.000	0.000	0.000	0.000
asking	0.000	1.000	1.000	1.000	0.000	0.000	0.000
array	0.000	1.000	1.000	1.000	0.000	0.000	0.000
attribution	0.000	1.000	1.000	1.000	0.000	0.000	0.000
around	0.000	1.000	1.000	1.000	0.000	0.000	0.000
arbitrarilyoriented	0.000	1.000	1.000	1.000	0.000	0.000	0.000
applying	0.000	1.000	1.000	1.000	0.000	0.000	0.000
appearanceandrelation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
aperture	0.000	1.000	1.000	1.000	0.000	0.000	0.000
aon	0.000	1.000	1.000	1.000	0.000	0.000	0.000
antispoofing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
anothers	0.000	1.000	1.000	1.000	0.000	0.000	0.000
attributeidentity	0.000	1.000	1.000	1.000	0.000	0.000	0.000
audio	0.000	1.000	1.000	1.000	0.000	0.000	0.000
completion	6.000	7.000	1.000	13.000	0.001	0.001	-0.000
backgroundbias	0.000	1.000	1.000	1.000	0.000	0.000	0.000
basis	0.000	1.000	1.000	1.000	0.000	0.000	0.000
basic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bases	0.000	1.000	1.000	1.000	0.000	0.000	0.000
base	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bank	0.000	1.000	1.000	1.000	0.000	0.000	0.000
balanced	0.000	1.000	1.000	1.000	0.000	0.000	0.000
backprop	0.000	1.000	1.000	1.000	0.000	0.000	0.000
backprojection	0.000	1.000	1.000	1.000	0.000	0.000	0.000
back	0.000	1.000	1.000	1.000	0.000	0.000	0.000
augmentation	3.000	4.000	1.000	7.000	0.000	0.001	0.000
baby	0.000	1.000	1.000	1.000	0.000	0.000	0.000
averaged	0.000	1.000	1.000	1.000	0.000	0.000	0.000
average	0.000	1.000	1.000	1.000	0.000	0.000	0.000
avatarnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ava	0.000	1.000	1.000	1.000	0.000	0.000	0.000
auto	0.000	1.000	1.000	1.000	0.000	0.000	0.000
autism	0.000	1.000	1.000	1.000	0.000	0.000	0.000
augmenting	1.000	2.000	1.000	3.000	0.000	0.000	0.000
annotation	2.000	3.000	1.000	5.000	0.000	0.000	0.000
angle	0.000	1.000	1.000	1.000	0.000	0.000	0.000
anchors	0.000	1.000	1.000	1.000	0.000	0.000	0.000
abstraction	0.000	1.000	1.000	1.000	0.000	0.000	0.000
across	1.000	2.000	1.000	3.000	0.000	0.000	0.000
achievements	0.000	1.000	1.000	1.000	0.000	0.000	0.000
accuracy	1.000	2.000	1.000	3.000	0.000	0.000	0.000
accumulated	0.000	1.000	1.000	1.000	0.000	0.000	0.000
accidents	0.000	1.000	1.000	1.000	0.000	0.000	0.000
acceptable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
accelerating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
accelerate	0.000	1.000	1.000	1.000	0.000	0.000	0.000
about	0.000	1.000	1.000	1.000	0.000	0.000	0.000
anchored	0.000	1.000	1.000	1.000	0.000	0.000	0.000
a2rl	0.000	1.000	1.000	1.000	0.000	0.000	0.000
4dfab	0.000	1.000	1.000	1.000	0.000	0.000	0.000
3drcnn	0.000	1.000	1.000	1.000	0.000	0.000	0.000
3d2d	0.000	1.000	1.000	1.000	0.000	0.000	0.000
30fps	0.000	1.000	1.000	1.000	0.000	0.000	0.000
2d3d	0.000	1.000	1.000	1.000	0.000	0.000	0.000
250	0.000	1.000	1.000	1.000	0.000	0.000	0.000
2017	0.000	1.000	1.000	1.000	0.000	0.000	0.000
act	0.000	1.000	1.000	1.000	0.000	0.000	0.000
activated	0.000	1.000	1.000	1.000	0.000	0.000	0.000
activation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
adadepth	0.000	1.000	1.000	1.000	0.000	0.000	0.000
anatomical	0.000	1.000	1.000	1.000	0.000	0.000	0.000
analytical	0.000	1.000	1.000	1.000	0.000	0.000	0.000
analytic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
amnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
alternative	1.000	2.000	1.000	3.000	0.000	0.000	0.000
alternatingstereo	0.000	1.000	1.000	1.000	0.000	0.000	0.000
alternately	0.000	1.000	1.000	1.000	0.000	0.000	0.000
allocentric	0.000	1.000	1.000	1.000	0.000	0.000	0.000
alive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
alignmentfree	0.000	1.000	1.000	1.000	0.000	0.000	0.000
aided	0.000	1.000	1.000	1.000	0.000	0.000	0.000
aging	0.000	1.000	1.000	1.000	0.000	0.000	0.000
affinity	1.000	2.000	1.000	3.000	0.000	0.000	0.000
adversarially	1.000	2.000	1.000	3.000	0.000	0.000	0.000
addressing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
adding	0.000	1.000	1.000	1.000	0.000	0.000	0.000
adapting	0.000	1.000	1.000	1.000	0.000	0.000	0.000
batch	0.000	1.000	1.000	1.000	0.000	0.000	0.000
batchnorm	0.000	1.000	1.000	1.000	0.000	0.000	0.000
beans	0.000	1.000	1.000	1.000	0.000	0.000	0.000
classical	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clique	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clipq	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clinical	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clearly	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clear	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cleannet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clcnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
classificationdriven	0.000	1.000	1.000	1.000	0.000	0.000	0.000
classes	0.000	1.000	1.000	1.000	0.000	0.000	0.000
categorylevel	0.000	1.000	1.000	1.000	0.000	0.000	0.000
circular	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cinema	0.000	1.000	1.000	1.000	0.000	0.000	0.000
children	0.000	1.000	1.000	1.000	0.000	0.000	0.000
changing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
certifiably	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cca	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cbmv	0.000	1.000	1.000	1.000	0.000	0.000	0.000
causal	1.000	2.000	1.000	3.000	0.000	0.000	0.000
cliques	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clothing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clustered	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clustering	7.000	8.000	1.000	15.000	0.001	0.001	-0.000
complete	0.000	1.000	1.000	1.000	0.000	0.000	0.000
complementarityaware	0.000	1.000	1.000	1.000	0.000	0.000	0.000
competitive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
compensation	1.000	2.000	1.000	3.000	0.000	0.000	0.000
compassionately	0.000	1.000	1.000	1.000	0.000	0.000	0.000
compass	0.000	1.000	1.000	1.000	0.000	0.000	0.000
comemory	0.000	1.000	1.000	1.000	0.000	0.000	0.000
combination	0.000	1.000	1.000	1.000	0.000	0.000	0.000
collection	0.000	1.000	1.000	1.000	0.000	0.000	0.000
codeslam	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cocostuff	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cocktail	0.000	1.000	1.000	1.000	0.000	0.000	0.000
coattentive	0.000	1.000	1.000	1.000	0.000	0.000	0.000
coattention	0.000	1.000	1.000	1.000	0.000	0.000	0.000
coalesced	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clusters	0.000	1.000	1.000	1.000	0.000	0.000	0.000
clusternet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cauchy	0.000	1.000	1.000	1.000	0.000	0.000	0.000
category	1.000	2.000	1.000	3.000	0.000	0.000	0.000
bears	0.000	1.000	1.000	1.000	0.000	0.000	0.000
blessing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bottomtopbottom	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bottlenecks	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bottleneck	0.000	1.000	1.000	1.000	0.000	0.000	0.000
body	4.000	5.000	1.000	9.000	0.001	0.001	0.000
blockwise	0.000	1.000	1.000	1.000	0.000	0.000	0.000
blockterm	0.000	1.000	1.000	1.000	0.000	0.000	0.000
blocks	0.000	1.000	1.000	1.000	0.000	0.000	0.000
blockdrop	0.000	1.000	1.000	1.000	0.000	0.000	0.000
blazingly	0.000	1.000	1.000	1.000	0.000	0.000	0.000
categorizing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bitwise	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bit	0.000	1.000	1.000	1.000	0.000	0.000	0.000
biresolution	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bilateral	0.000	1.000	1.000	1.000	0.000	0.000	0.000
betweenclass	0.000	1.000	1.000	1.000	0.000	0.000	0.000
berry	0.000	1.000	1.000	1.000	0.000	0.000	0.000
belief	0.000	1.000	1.000	1.000	0.000	0.000	0.000
behavior	1.000	2.000	1.000	3.000	0.000	0.000	0.000
bounded	0.000	1.000	1.000	1.000	0.000	0.000	0.000
box	1.000	2.000	1.000	3.000	0.000	0.000	0.000
bpgrad	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bracketed	0.000	1.000	1.000	1.000	0.000	0.000	0.000
catastrophic	0.000	1.000	1.000	1.000	0.000	0.000	0.000
catadioptric	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cartoonization	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cartoongan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
carte	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cars	0.000	1.000	1.000	1.000	0.000	0.000	0.000
caricature	0.000	1.000	1.000	1.000	0.000	0.000	0.000
carfusion	0.000	1.000	1.000	1.000	0.000	0.000	0.000
caption	0.000	1.000	1.000	1.000	0.000	0.000	0.000
capsule	0.000	1.000	1.000	1.000	0.000	0.000	0.000
cameras	6.000	7.000	1.000	13.000	0.001	0.001	-0.000
burst	0.000	1.000	1.000	1.000	0.000	0.000	0.000
burgers	0.000	1.000	1.000	1.000	0.000	0.000	0.000
budgeted	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bridging	0.000	1.000	1.000	1.000	0.000	0.000	0.000
bridge	0.000	1.000	1.000	1.000	0.000	0.000	0.000
branch	0.000	1.000	1.000	1.000	0.000	0.000	0.000
examples	0.000	1.000	1.000	1.000	0.000	0.000	0.000
corrupted	0.000	1.000	1.000	1.000	0.000	0.000	0.000
few	0.000	1.000	1.000	1.000	0.000	0.000	0.000
facetoface	0.000	1.000	1.000	1.000	0.000	0.000	0.000
gating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
flyingcamera	0.000	1.000	1.000	1.000	0.000	0.000	0.000
focus	1.000	2.000	1.000	3.000	0.000	0.000	0.000
gated	2.000	3.000	1.000	5.000	0.000	0.000	0.000
ffnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fcnbased	0.000	1.000	1.000	1.000	0.000	0.000	0.000
extrapolating	0.000	1.000	1.000	1.000	0.000	0.000	0.000
gap	1.000	2.000	1.000	3.000	0.000	0.000	0.000
extrapolation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fots	0.000	1.000	1.000	1.000	0.000	0.000	0.000
factor	0.000	1.000	1.000	1.000	0.000	0.000	0.000
font	0.000	1.000	1.000	1.000	0.000	0.000	0.000
furious	0.000	1.000	1.000	1.000	0.000	0.000	0.000
ganerated	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fullysupervised	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fight	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fill	0.000	1.000	1.000	1.000	0.000	0.000	0.000
graph	7.000	8.000	1.000	15.000	0.001	0.001	-0.000
geometrically	0.000	1.000	1.000	1.000	0.000	0.000	0.000
flash	0.000	1.000	1.000	1.000	0.000	0.000	0.000
graphcut	0.000	1.000	1.000	1.000	0.000	0.000	0.000
factoring	0.000	1.000	1.000	1.000	0.000	0.000	0.000
gradually	0.000	1.000	1.000	1.000	0.000	0.000	0.000
flipdial	0.000	1.000	1.000	1.000	0.000	0.000	0.000
generalizing	0.000	1.000	1.000	1.000	0.000	0.000	0.000
grand	0.000	1.000	1.000	1.000	0.000	0.000	0.000
graphbased	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fpga	0.000	1.000	1.000	1.000	0.000	0.000	0.000
featuresteered	0.000	1.000	1.000	1.000	0.000	0.000	0.000
feastnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
factorize	0.000	1.000	1.000	1.000	0.000	0.000	0.000
gibson	0.000	1.000	1.000	1.000	0.000	0.000	0.000
explainable	0.000	1.000	1.000	1.000	0.000	0.000	0.000
graphbit	0.000	1.000	1.000	1.000	0.000	0.000	0.000
free	1.000	2.000	1.000	3.000	0.000	0.000	0.000
gradient	1.000	2.000	1.000	3.000	0.000	0.000	0.000
foldingnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
grad	0.000	1.000	1.000	1.000	0.000	0.000	0.000
feedbackprop	0.000	1.000	1.000	1.000	0.000	0.000	0.000
extraction	0.000	1.000	1.000	1.000	0.000	0.000	0.000
factorisation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
functional	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fluent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fivepoint	0.000	1.000	1.000	1.000	0.000	0.000	0.000
going	0.000	1.000	1.000	1.000	0.000	0.000	0.000
grobner	0.000	1.000	1.000	1.000	0.000	0.000	0.000
faceskull	0.000	1.000	1.000	1.000	0.000	0.000	0.000
expanded	0.000	1.000	1.000	1.000	0.000	0.000	0.000
framerecurrent	0.000	1.000	1.000	1.000	0.000	0.000	0.000
games	0.000	1.000	1.000	1.000	0.000	0.000	0.000
glimpse	0.000	1.000	1.000	1.000	0.000	0.000	0.000
forward	0.000	1.000	1.000	1.000	0.000	0.000	0.000
extreme	2.000	3.000	1.000	5.000	0.000	0.000	0.000
faceidgan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
exploit	0.000	1.000	1.000	1.000	0.000	0.000	0.000
formation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
faceletbank	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fitness	0.000	1.000	1.000	1.000	0.000	0.000	0.000
game	0.000	1.000	1.000	1.000	0.000	0.000	0.000
exploitation	0.000	1.000	1.000	1.000	0.000	0.000	0.000
gagan	0.000	1.000	1.000	1.000	0.000	0.000	0.000
find	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fooling	0.000	1.000	1.000	1.000	0.000	0.000	0.000
groundtoaerial	0.000	1.000	1.000	1.000	0.000	0.000	0.000
frustum	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fastforwarding	0.000	1.000	1.000	1.000	0.000	0.000	0.000
frames	0.000	1.000	1.000	1.000	0.000	0.000	0.000
flop	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fsrnet	0.000	1.000	1.000	1.000	0.000	0.000	0.000
goals	0.000	1.000	1.000	1.000	0.000	0.000	0.000
forecast	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fastforward	0.000	1.000	1.000	1.000	0.000	0.000	0.000
findings	0.000	1.000	1.000	1.000	0.000	0.000	0.000
fisher	0.000	1.000	1.000	1.000	0.000	0.000	0.000
dialogue	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
order	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
building	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
labeled	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
thermal	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
diagnosis	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
tiny	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
optimality	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
ones	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
tomography	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
attentionaware	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
tighter	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
convnet	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
thorax	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
thirdperson	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
rain	3.000	3.000	0.000	6.000	0.000	0.000	-0.000
convnets	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
factors	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
odometry	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
ray	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
thin	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
can	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
convergence	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
	10.000	10.000	0.000	20.000	0.002	0.001	-0.000
assisted	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
reality	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
nonblind	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
noisy	5.000	5.000	0.000	10.000	0.001	0.001	-0.000
noise	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
transform	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
direction	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
fullresolution	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
imagery	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
constraint	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
images	29.000	29.000	0.000	58.000	0.004	0.004	-0.001
transient	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
stereo	13.000	13.000	0.000	26.000	0.002	0.002	-0.000
neural	57.000	57.000	0.000	114.000	0.009	0.007	-0.002
appearance	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
transparent	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
hierarchical	8.000	8.000	0.000	16.000	0.001	0.001	-0.000
consensus	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
triplet	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
refine	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
refining	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
are	4.000	4.000	0.000	8.000	0.001	0.001	-0.000
direct	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
instructional	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
normal	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
assessment	3.000	3.000	0.000	6.000	0.000	0.000	-0.000
smooth	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
total	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
toward	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
novel	4.000	4.000	0.000	8.000	0.001	0.001	-0.000
space	7.000	7.000	0.000	14.000	0.001	0.001	-0.000
normalized	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
continuum	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
diffusion	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
nonlinear	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
contextual	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
nonparametric	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
artifacts	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
capture	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
articulated	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
training	12.000	12.000	0.000	24.000	0.002	0.002	-0.000
art	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
highlevel	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
hilbert	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
pair	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
orderpreserving	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
datasets	3.000	3.000	0.000	6.000	0.000	0.000	-0.000
structurefrommotion	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
pointnet	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
bottomup	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
dark	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
plug	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
bilinear	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
play	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
invisible	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
process	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
dataset	8.000	8.000	0.000	16.000	0.001	0.001	-0.000
fusing	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
their	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
pixellevel	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
between	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
spotting	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
illuminant	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
it	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
decompositions	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
benchmarking	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
behaviors	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
supervised	20.000	20.000	0.000	40.000	0.003	0.003	-0.001
humans	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
pointwise	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
polarimetric	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
curve	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
finegrained	5.000	5.000	0.000	10.000	0.001	0.001	-0.000
predict	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
precision	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
bodies	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
bootstrapping	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
crossspectral	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
identifying	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
positive	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
posetrack	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
internet	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
poseinvariant	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
preserving	3.000	3.000	0.000	6.000	0.000	0.000	-0.000
both	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
street	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
critical	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
cues	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
fitting	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
structural	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
biomedical	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
future	3.000	3.000	0.000	6.000	0.000	0.000	-0.000
polygonrnn	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
intrinsics	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
photographs	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
illumination	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
support	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
parametric	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
parallel	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
tensor	4.000	4.000	0.000	8.000	0.001	0.001	-0.000
panorama	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
auxiliary	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
tensors	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
pairwise	3.000	3.000	0.000	6.000	0.000	0.000	-0.000
deraining	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
quantifying	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
queries	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
textbook	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
spatially	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
over	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
descriptive	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
output	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
spatial	9.000	9.000	0.000	18.000	0.001	0.001	-0.000
outdoor	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
descriptor	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
radial	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
fundamental	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
spaces	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
the	62.000	62.000	0.000	124.000	0.010	0.008	-0.002
template	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
holistic	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
interacting	2.000	2.000	0.000	4.000	0.000	0.000	-0.000
teaching	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
basketball	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
surveillance	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
flexible	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
kernel	6.000	6.000	0.000	12.000	0.001	0.001	-0.000
flight	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
deforming	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
kernels	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
prototype	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
provable	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
correspondences	3.000	3.000	0.000	6.000	0.000	0.000	-0.000
generalization	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
speckle	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
how	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
generalized	3.000	3.000	0.000	6.000	0.000	0.000	-0.000
pursuit	1.000	1.000	0.000	2.000	0.000	0.000	-0.000
